Aggregate ID,Module ID,Gene Symbol
A28,M13.17,CASP1
A28,M13.17,SAMD9
A28,M13.17,IFITM1
A28,M13.17,SP100
A28,M13.17,NT5C3
A28,M13.17,DTX3L
A28,M13.17,PSMB9
A28,M13.17,TMEM140
A28,M13.17,RNF213
A28,M13.17,TRIM21
A28,M13.17,CHMP5
A28,M13.17,STAT2
A28,M13.17,ACTA2
A28,M13.17,PHF11
A28,M13.17,ZNFX1
A28,M13.17,IFI16
A28,M13.17,ADAR
A28,M13.17,IRF9
A28,M13.17,TAP1
A28,M13.17,SHISA5
A28,M13.17,TDRD7
A28,M13.17,IL1F7
A28,M13.17,PARP9
A28,M13.17,SP110
A28,M13.17,HS.489254
A28,M13.17,TRAFD1
A28,M13.17,ZC3HAV1
A28,M13.17,GBP2
A28,M13.17,UBE2L6
A28,M13.17,NOD2
A28,M13.17,LGALS9
