GeneSymbol,Statements,GPT-4 M US,GPT-4 M Thai,Claude-3,GPT-4 Qatar
DDX58,a. Association with type I interferon responses,10,10,10,9
DDX58,b. Association with type II interferon responses,5.666666667,4.333333333,4,3.33333333
DDX58,c. Association with type III interferon responses,7.333333333,7.666666667,7,5.33333333
DDX58,d. Relevance to circulating leukocytes immune biology,8.666666667,6,8,6
DDX58,e. Used as a biomarker in clinical settings,6,2.333333333,3,2
DDX58,f. Potential value as a blood transcriptional biomarker,7,4.666666667,6,3.66666667
DDX58,g. Known drug target,6.333333333,5.666666667,4,3.33333333
DDX58,h. Therapeutically relevant for immune system diseases,8,7,8,6.66666667
DDX60,a. Association with type I interferon responses,7.333333333,8.333333333,7,8.66666667
DDX60,b. Association with type II interferon responses,3.666666667,3,3,3.66666667
DDX60,c. Association with type III interferon responses,5.333333333,5.666666667,5,4.66666667
DDX60,d. Relevance to circulating leukocytes immune biology,6.333333333,4.666666667,6,6
DDX60,e. Used as a biomarker in clinical settings,4,2.333333333,1,2.33333333
DDX60,f. Potential value as a blood transcriptional biomarker,5.333333333,4.333333333,5,5
DDX60,g. Known drug target,2.666666667,3.333333333,1,2.66666667
DDX60,h. Therapeutically relevant for immune system diseases,5,5.333333333,5,6
DHX58,a. Association with type I interferon responses,7,6.666666667,8,8
DHX58,b. Association with type II interferon responses,4.333333333,2.666666667,3,3.33333333
DHX58,c. Association with type III interferon responses,5.333333333,4.666666667,6,4.33333333
DHX58,d. Relevance to circulating leukocytes immune biology,6.333333333,4.666666667,7,5.66666667
DHX58,e. Used as a biomarker in clinical settings,3,1.666666667,1,2
DHX58,f. Potential value as a blood transcriptional biomarker,4.333333333,3.333333333,5,4
DHX58,g. Known drug target,2.333333333,2.333333333,1,2.33333333
DHX58,h. Therapeutically relevant for immune system diseases,5,4.333333333,6,6
FBXO6,a. Association with type I interferon responses,1.333333333,1,2,2
FBXO6,b. Association with type II interferon responses,1,1,1,0.66666667
FBXO6,c. Association with type III interferon responses,1,1,1,0.66666667
FBXO6,d. Relevance to circulating leukocytes immune biology,2,2,2,2
FBXO6,e. Used as a biomarker in clinical settings,1,0.666666667,1,0.33333333
FBXO6,f. Potential value as a blood transcriptional biomarker,1.333333333,1.666666667,2,1.33333333
FBXO6,g. Known drug target,1,1.333333333,1,0.33333333
FBXO6,h. Therapeutically relevant for immune system diseases,1.333333333,1.333333333,2,1.66666667
GBP1,a. Association with type I interferon responses,5.333333333,6.333333333,10,5.33333333
GBP1,b. Association with type II interferon responses,10,9.333333333,9,7.66666667
GBP1,c. Association with type III interferon responses,5.333333333,5,7,2
GBP1,d. Relevance to circulating leukocytes immune biology,8.333333333,7.666666667,9,7.33333333
GBP1,e. Used as a biomarker in clinical settings,5.333333333,6,5,2
GBP1,f. Potential value as a blood transcriptional biomarker,7,6.666666667,8,4.33333333
GBP1,g. Known drug target,3.333333333,4,4,2
GBP1,h. Therapeutically relevant for immune system diseases,7.666666667,7,8,6.33333333
GBP4,a. Association with type I interferon responses,3.666666667,6,8,3.33333333
GBP4,b. Association with type II interferon responses,9,7.666666667,7,7.66666667
GBP4,c. Association with type III interferon responses,4.666666667,4.333333333,3,2
GBP4,d. Relevance to circulating leukocytes immune biology,6.666666667,5,7,6
GBP4,e. Used as a biomarker in clinical settings,4,3.333333333,1,1.66666667
